startbyte,time,position,current,acceleration,cmdval,control effort
0,653618,2985,-24,0,1383,-479
0,653619,2983,-230,0,1402,-474
0,653620,2985,-212,0,1427,-467
0,653621,2983,-181,0,1449,-459
0,653622,2980,-156,0,1469,-455
0,653623,2979,-135,0,1482,-449
0,653624,2979,-129,0,1499,-444
0,653625,2974,-124,0,1512,-438
0,653626,2974,-124,0,1524,-436
0,653627,2972,-123,0,1531,-432
0,653628,2968,-121,0,1539,-428
0,653629,2968,-122,0,1544,-427
0,653630,2965,-122,0,1547,-425
0,653631,2960,-120,0,1548,-424
0,653632,2958,-120,0,1547,-424
0,653633,2958,-121,0,1544,-423
0,653634,2952,-120,0,1538,-424
0,653635,2951,-121,0,1532,-425
0,653636,2948,-123,0,1523,-427
0,653637,2941,-121,0,1511,-429
0,653638,2939,-122,0,1497,-432
0,653639,2937,-122,0,1485,-435
0,653640,2931,-122,0,1466,-439
0,653641,2929,-123,0,1446,-444
0,653642,2928,-127,0,1424,-448
0,653643,2923,-134,0,1405,-455
0,653644,2917,-152,0,1379,-462
0,653645,2917,-175,0,1351,-469
0,653646,2912,-202,0,1320,-477
0,653647,2910,-240,0,1296,-484
0,653648,2907,-273,0,1262,-493
0,653649,2902,-312,0,1226,-502
0,653650,2898,-346,0,1188,-514
0,653651,2895,-386,0,1158,-521
0,653652,2890,-429,0,1117,-531
0,653653,2885,-473,0,1074,-544
0,653654,2879,-523,0,1029,-551
0,653655,2868,-573,0,994,-561
0,653656,2862,-618,0,947,-574
0,653657,2853,-681,0,897,-586
0,653658,2838,-735,0,846,-594
0,653659,2827,-795,0,807,-606
0,653660,2812,-864,0,753,-618
0,653661,2795,-914,0,698,-629
0,653662,2777,-976,0,642,-640
0,653663,2758,-1053,0,599,-647
0,653664,2733,-1117,0,540,-658
0,653665,2711,-1190,0,480,-670
0,653666,2689,-1275,0,419,-681
0,653667,2661,-1336,0,373,-686
0,653668,2634,-1412,0,310,-697
0,653669,2605,-1498,0,247,-708
0,653670,2569,-1572,0,182,-712
0,653671,2533,-1637,0,134,-721
0,653672,2500,-1706,0,68,-729
0,653673,2460,-1774,0,2,-737
0,653674,2421,-1841,0,-65,-743
0,653675,2379,-1907,0,-116,-749
0,653676,2335,-1969,0,-183,-756
0,653677,2295,-2005,0,-252,-764
0,653678,2249,-2066,0,-320,-770
0,653679,2198,-2125,0,-371,-772
0,653680,2148,-2158,0,-440,-778
0,653681,2097,-2201,0,-509,-783
0,653682,2045,-2247,0,-577,-788
0,653683,1999,-2269,0,-629,-788
0,653684,1945,-2307,0,-697,-792
0,653685,1894,-2349,0,-766,-800
0,653686,1842,-2391,0,-834,-800
0,653687,1790,-2421,0,-884,-803
