startbyte,time,position,current,acceleration,cmdval,control effort
0,62459,2866,25,0,-927,0
0,62461,2870,-66,0,-944,-307
0,62462,2869,-66,0,-952,-309
0,62463,2871,-68,0,-960,-312
0,62464,2869,-67,0,-968,-315
0,62465,2870,-70,0,-977,-317
0,62466,2869,-69,0,-985,-320
0,62467,2871,-72,0,-993,-322
0,62468,2868,-71,0,-1001,-324
0,62469,2869,-71,0,-1009,-327
0,62470,2867,-72,0,-1018,-331
0,62471,2868,-75,0,-1026,-332
0,62472,2869,-75,0,-1034,-334
0,62473,2870,-78,0,-1042,-338
0,62474,2868,-78,0,-1050,-340
0,62475,2870,-80,0,-1059,-343
0,62476,2869,-80,0,-1067,-345
0,62477,2868,-81,0,-1075,-347
0,62478,2871,-83,0,-1083,-350
0,62479,2868,-84,0,-1091,-352
0,62480,2868,-85,0,-1100,-355
0,62481,2869,-85,0,-1108,-357
0,62482,2870,-88,0,-1116,-360
0,62483,2866,-85,0,-1124,-362
0,62484,2870,-89,0,-1132,-365
0,62485,2869,-91,0,-1141,-367
0,62486,2866,-89,0,-1149,-370
0,62487,2868,-89,0,-1157,-372
0,62488,2872,-94,0,-1165,-375
0,62489,2870,-93,0,-1174,-378
0,62490,2872,-96,0,-1182,-380
0,62491,2869,-95,0,-1190,-383
0,62492,2868,-96,0,-1198,-385
0,62493,2870,-98,0,-1206,-388
0,62494,2869,-99,0,-1215,-390
0,62495,2869,-101,0,-1223,-392
0,62496,2870,-102,0,-1231,-394
0,62497,2869,-103,0,-1239,-396
0,62498,2868,-105,0,-1247,-399
0,62499,2868,-107,0,-1256,-401
0,62500,2867,-108,0,-1264,-403
0,62501,2867,-110,0,-1272,-406
0,62502,2870,-113,0,-1280,-409
0,62503,2871,-115,0,-1288,-411
0,62504,2868,-116,0,-1297,-413
0,62505,2870,-116,0,-1305,-416
0,62506,2869,-118,0,-1313,-418
0,62507,2868,-119,0,-1321,-420
0,62508,2869,-120,0,-1329,-423
0,62509,2869,-121,0,-1338,-425
0,62510,2867,-121,0,-1346,-428
0,62511,2870,-122,0,-1354,-431
0,62512,2870,-124,0,-1362,-433
0,62513,2866,-123,0,-1370,-436
0,62514,2868,-123,0,-1379,-439
0,62515,2871,-125,0,-1387,-441
0,62516,2869,-125,0,-1395,-444
0,62517,2872,-127,0,-1403,-446
0,62518,2869,-127,0,-1412,-449
0,62519,2868,-129,0,-1420,-451
0,62520,2869,-131,0,-1428,-453
0,62521,2871,-135,0,-1436,-455
0,62522,2871,-138,0,-1444,-457
0,62523,2871,-141,0,-1453,-459
0,62524,2871,-148,0,-1461,-459
0,62525,2870,-151,0,-1469,-461
0,62526,2872,-158,0,-1477,-461
0,62527,2873,-163,0,-1485,-462
0,62528,2870,-165,0,-1494,-465
0,62529,2873,-173,0,-1502,-465
0,62530,2870,-176,0,-1510,-466
0,62531,2870,-181,0,-1518,-467
0,62532,2872,-187,0,-1526,-468
0,62533,2872,-191,0,-1535,-470
0,62534,2868,-194,0,-1543,-472
0,62535,2873,-202,0,-1551,-472
0,62536,2875,-208,0,-1559,-472
0,62537,2873,-211,0,-1567,-474
0,62538,2874,-216,0,-1576,-476
0,62539,2872,-220,0,-1584,-477
0,62540,2869,-224,0,-1592,-478
0,62541,2871,-230,0,-1600,-479
0,62542,2870,-234,0,-1608,-480
0,62543,2870,-240,0,-1617,-481
0,62544,2872,-247,0,-1625,-482
0,62545,2872,-252,0,-1633,-483
0,62546,2869,-254,0,-1641,-485
0,62547,2870,-260,0,-1649,-486
0,62548,2870,-265,0,-1658,-487
0,62549,2867,-268,0,-1666,-489
0,62550,2869,-274,0,-1674,-490
0,62551,2869,-279,0,-1682,-491
0,62552,2867,-285,0,-1691,-492
0,62553,2869,-289,0,-1699,-493
0,62554,2868,-295,0,-1707,-494
0,62555,2865,-299,0,-1715,-495
0,62556,2864,-302,0,-1723,-497
0,62557,2861,-305,0,-1732,-499
0,62558,2860,-311,0,-1740,-499
0,62559,2858,-318,0,-1748,-500
0,62560,2855,-321,0,-1756,-502
0,62561,2854,-327,0,-1764,-502
0,62562,2852,-331,0,-1773,-504
0,62563,2851,-337,0,-1781,-505
0,62564,2845,-340,0,-1789,-507
0,62565,2843,-346,0,-1797,-507
0,62566,2837,-349,0,-1805,-509
0,62567,2831,-355,0,-1814,-510
0,62568,2827,-360,0,-1822,-511
0,62569,2823,-366,0,-1830,-512
0,62570,2816,-369,0,-1838,-514
0,62571,2809,-372,0,-1846,-515
0,62572,2804,-381,0,-1855,-515
0,62573,2795,-384,0,-1863,-517
0,62574,2787,-386,0,-1871,-519
0,62575,2784,-394,0,-1879,-519
0,62576,2774,-400,0,-1887,-520
0,62577,2769,-405,0,-1896,-521
0,62578,2760,-410,0,-1904,-522
0,62579,2748,-415,0,-1912,-523
0,62580,2744,-417,0,-1920,-526
0,62581,2735,-422,0,-1929,-527
0,62582,2723,-427,0,-1937,-528
0,62583,2710,-432,0,-1945,-529
0,62584,2704,-436,0,-1953,-530
0,62585,2694,-442,0,-1961,-531
0,62586,2687,-448,0,-1970,-532
0,62587,2676,-452,0,-1978,-534
0,62588,2666,-457,0,-1986,-535
0,62589,2657,-462,0,-1994,-536
0,62590,2648,-468,0,-2002,-537
0,62591,2636,-471,0,-2011,-539
0,62592,2627,-477,0,-2019,-539
0,62593,2617,-482,0,-2027,-540
0,62594,2606,-489,0,-2035,-541
0,62595,2595,-494,0,-2043,-542
0,62596,2586,-498,0,-2052,-543
0,62597,2574,-502,0,-2060,-545
0,62598,2567,-510,0,-2068,-545
0,62599,2555,-516,0,-2076,-546
0,62600,2545,-522,0,-2084,-546
0,62601,2538,-525,0,-2093,-548
0,62602,2529,-533,0,-2101,-548
0,62603,2518,-538,0,-2109,-549
0,62604,2510,-544,0,-2117,-550
0,62605,2501,-546,0,-2125,-552
0,62606,2492,-553,0,-2134,-554
0,62607,2488,-559,0,-2142,-554
0,62608,2480,-565,0,-2150,-554
0,62609,2472,-571,0,-2158,-555
0,62610,2464,-578,0,-2166,-555
0,62611,2458,-581,0,-2175,-557
0,62612,2454,-587,0,-2183,-558
0,62613,2450,-594,0,-2191,-558
0,62614,2444,-599,0,-2199,-560
0,62615,2438,-603,0,-2208,-561
0,62616,2433,-600,0,-2216,-565
0,62617,2431,-613,0,-2224,-563
0,62618,2426,-619,0,-2232,-564
0,62619,2424,-624,0,-2240,-565
0,62620,2423,-630,0,-2249,-566
0,62621,2423,-637,0,-2257,-567
0,62622,2420,-643,0,-2265,-567
0,62623,2420,-649,0,-2273,-568
0,62624,2416,-651,0,-2281,-570
0,62625,2416,-659,0,-2290,-570
0,62626,2418,-667,0,-2298,-570
0,62627,2417,-671,0,-2306,-572
0,62628,2416,-675,0,-2314,-573
0,62629,2415,-680,0,-2322,-574
0,62630,2415,-688,0,-2331,-575
0,62631,2414,-692,0,-2339,-576
0,62632,2414,-699,0,-2347,-576
0,62633,2412,-701,0,-2355,-578
0,62634,2415,-708,0,-2363,-579
0,62635,2415,-715,0,-2372,-579
0,62636,2412,-721,0,-2380,-580
0,62637,2411,-724,0,-2388,-582
0,62638,2413,-730,0,-2396,-583
0,62639,2411,-734,0,-2404,-584
0,62640,2413,-742,0,-2413,-584
0,62641,2414,-749,0,-2421,-585
0,62642,2411,-754,0,-2429,-586
0,62643,2409,-758,0,-2437,-587
0,62644,2413,-764,0,-2446,-588
0,62645,2411,-770,0,-2454,-589
0,62646,2410,-777,0,-2462,-589
0,62647,2411,-781,0,-2470,-591
0,62648,2410,-785,0,-2478,-592
0,62649,2412,-790,0,-2487,-593
0,62650,2413,-800,0,-2495,-593
0,62651,2408,-803,0,-2503,-595
0,62652,2410,-808,0,-2511,-596
0,62653,2412,-815,0,-2519,-596
0,62654,2411,-819,0,-2528,-597
0,62655,2410,-826,0,-2536,-598
0,62656,2409,-830,0,-2544,-599
0,62657,2407,-835,0,-2552,-600
0,62658,2408,-842,0,-2560,-601
0,62659,2409,-849,0,-2569,-602
0,62660,2405,-852,0,-2577,-603
0,62661,2402,-858,0,-2585,-604
0,62662,2404,-863,0,-2593,-605
0,62663,2401,-870,0,-2601,-605
0,62664,2398,-875,0,-2610,-607
0,62665,2396,-881,0,-2618,-607
0,62666,2391,-887,0,-2626,-608
0,62667,2391,-892,0,-2634,-609
0,62668,2389,-899,0,-2642,-610
0,62669,2384,-904,0,-2651,-611
0,62670,2379,-910,0,-2659,-612
0,62671,2379,-915,0,-2667,-613
0,62672,2374,-920,0,-2675,-614
0,62673,2369,-926,0,-2683,-614
0,62674,2365,-932,0,-2692,-616
0,62675,2360,-938,0,-2700,-617
0,62676,2357,-943,0,-2708,-617
0,62677,2353,-947,0,-2716,-619
0,62678,2346,-954,0,-2725,-619
0,62679,2339,-962,0,-2733,-619
0,62680,2338,-966,0,-2741,-621
0,62681,2332,-971,0,-2749,-622
0,62682,2327,-977,0,-2757,-623
0,62683,2323,-982,0,-2766,-624
0,62684,2312,-987,0,-2774,-625
0,62685,2307,-995,0,-2782,-625
0,62686,2303,-1001,0,-2790,-626
0,62687,2297,-1007,0,-2798,-626
0,62688,2289,-1011,0,-2807,-628
0,62689,2286,-1013,0,-2815,-630
0,62690,2280,-1022,0,-2823,-630
