startbyte,time,position,current,acceleration,cmdval,control effort
0,90981,1140,23,0,1402,78
0,90982,1138,25,0,1409,81
0,90983,1138,26,0,1415,83
0,90984,1141,29,0,1415,82
0,90985,1142,29,0,1421,83
0,90986,1142,31,0,1427,85
0,90987,1140,29,0,1432,87
0,90988,1143,30,0,1432,86
0,90989,1141,31,0,1438,89
0,90990,1141,31,0,1443,90
0,90991,1139,29,0,1449,93
0,90992,1143,33,0,1449,91
0,90993,1141,32,0,1454,93
0,90994,1143,32,0,1459,94
0,90995,1141,33,0,1464,96
0,90996,1141,32,0,1464,96
0,90997,1142,33,0,1469,98
0,90998,1143,33,0,1474,99
0,90999,1139,31,0,1478,101
0,91000,1141,32,0,1478,101
0,91001,1142,34,0,1482,102
0,91002,1138,31,0,1487,104
0,91003,1140,32,0,1491,105
0,91004,1141,33,0,1491,105
0,91005,1141,34,0,1495,106
0,91006,1143,35,0,1499,106
0,91007,1142,35,0,1502,108
0,91008,1142,36,0,1502,108
0,91009,1141,35,0,1506,108
0,91010,1142,36,0,1509,110
0,91011,1142,36,0,1512,111
0,91012,1142,36,0,1512,111
0,91013,1142,36,0,1516,112
0,91014,1141,37,0,1519,113
0,91015,1144,38,0,1521,113
0,91016,1142,37,0,1521,113
0,91017,1141,37,0,1524,114
0,91018,1143,37,0,1527,115
0,91019,1143,37,0,1529,115
0,91020,1141,37,0,1529,116
0,91021,1144,39,0,1531,116
0,91022,1143,38,0,1533,117
0,91023,1141,37,0,1535,118
0,91024,1142,37,0,1535,117
0,91025,1144,39,0,1537,118
0,91026,1142,38,0,1539,119
0,91027,1143,38,0,1540,119
0,91028,1143,39,0,1540,119
0,91029,1139,36,0,1542,120
0,91030,1139,36,0,1543,121
0,91031,1141,38,0,1544,120
0,91032,1139,36,0,1544,121
0,91033,1142,37,0,1545,120
0,91034,1144,39,0,1546,120
0,91035,1143,39,0,1547,121
0,91036,1144,36,0,1547,120
0,91037,1141,37,0,1547,121
0,91038,1139,37,0,1548,122
0,91039,1142,37,0,1548,121
0,91040,1144,39,0,1548,121
0,91041,1140,38,0,1548,122
0,91042,1144,38,0,1548,121
0,91043,1142,39,0,1548,121
0,91044,1143,39,0,1548,121
0,91045,1142,37,0,1547,121
0,91046,1142,38,0,1547,121
0,91047,1140,35,0,1546,121
0,91048,1143,38,0,1546,120
0,91049,1143,38,0,1546,120
0,91050,1142,38,0,1545,120
0,91051,1142,37,0,1544,120
0,91052,1142,38,0,1544,120
0,91053,1143,38,0,1542,119
0,91054,1142,36,0,1541,119
0,91055,1145,39,0,1540,118
0,91056,1142,38,0,1540,119
0,91057,1142,37,0,1538,118
0,91058,1144,39,0,1536,117
0,91059,1139,35,0,1534,118
0,91060,1141,35,0,1534,117
0,91061,1142,36,0,1532,117
0,91062,1142,37,0,1530,116
0,91063,1144,37,0,1528,115
0,91064,1143,37,0,1528,115
0,91065,1142,37,0,1525,114
0,91066,1143,37,0,1523,114
0,91067,1144,38,0,1520,112
0,91068,1143,36,0,1520,113
0,91069,1142,35,0,1517,112
0,91070,1144,37,0,1514,111
0,91071,1141,36,0,1511,111
0,91072,1140,33,0,1511,111
0,91073,1142,35,0,1507,110
0,91074,1142,35,0,1504,108
0,91075,1144,35,0,1500,106
0,91076,1144,35,0,1500,106
0,91077,1141,34,0,1497,106
0,91078,1141,33,0,1493,105
0,91079,1140,32,0,1489,104
0,91080,1141,34,0,1489,104
0,91081,1143,34,0,1485,102
0,91082,1143,34,0,1480,101
0,91083,1142,33,0,1476,100
0,91084,1144,32,0,1476,99
0,91085,1141,31,0,1471,99
0,91086,1142,32,0,1466,97
0,91087,1142,32,0,1462,96
0,91088,1144,34,0,1462,95
0,91089,1143,32,0,1457,94
0,91090,1144,33,0,1451,92
0,91091,1144,33,0,1446,90
0,91092,1142,32,0,1446,91
0,91093,1140,28,0,1441,90
0,91094,1144,30,0,1435,87
0,91095,1140,28,0,1430,87
0,91096,1142,29,0,1430,86
0,91097,1145,30,0,1424,83
0,91098,1142,30,0,1418,82
0,91099,1143,29,0,1412,80
0,91100,1143,29,0,1412,80
0,91101,1139,25,0,1405,79
0,91102,1142,28,0,1399,77
0,91103,1144,28,0,1393,74
0,91104,1141,26,0,1393,75
0,91105,1140,25,0,1386,73
0,91106,1143,26,0,1379,70
0,91107,1141,26,0,1372,69
0,91108,1143,26,0,1372,68
0,91109,1142,24,0,1365,66
0,91110,1142,25,0,1358,65
0,91111,1142,24,0,1351,62
0,91112,1143,24,0,1351,62
0,91113,1140,23,0,1343,60
0,91114,1143,22,0,1336,57
0,91115,1144,23,0,1328,55
0,91116,1140,24,0,1328,56
0,91117,1142,22,0,1320,53
0,91118,1144,24,0,1312,50
0,91119,1141,23,0,1304,48
0,91120,1142,23,0,1304,48
0,91121,1143,25,0,1296,46
0,91122,1140,22,0,1288,44
0,91123,1142,24,0,1279,41
0,91124,1143,23,0,1279,40
0,91125,1142,24,0,1271,38
0,91126,1142,23,0,1262,36
0,91127,1142,23,0,1253,33
0,91128,1140,21,0,1253,33
0,91129,1143,23,0,1244,30
0,91130,1144,25,0,1235,27
0,91131,1143,23,0,1226,24
0,91132,1143,24,0,1226,24
0,91133,1144,23,0,1217,21
0,91134,1142,22,0,1207,19
0,91135,1142,22,0,1198,16
0,91136,1144,24,0,1198,16
0,91137,1142,23,0,1188,14
0,91138,1143,23,0,1178,10
0,91139,1143,23,0,1168,7
0,91140,1142,23,0,1168,7
0,91141,1142,24,0,1158,4
0,91142,1141,23,0,1148,2
0,91143,1140,-22,0,1138,0
0,91144,1143,-24,0,1138,-1
0,91145,1142,-23,0,1128,-4
0,91146,1140,-21,0,1117,-6
0,91147,1139,-20,0,1107,-9
0,91148,1143,-22,0,1107,-10
0,91149,1142,-22,0,1096,-13
0,91150,1142,-22,0,1085,-17
0,91151,1142,-20,0,1074,-20
0,91152,1142,-23,0,1074,-20
0,91153,1138,-19,0,1063,-23
0,91154,1141,-21,0,1052,-26
0,91155,1141,-24,0,1041,-30
0,91156,1141,-22,0,1041,-30
0,91157,1142,-22,0,1029,-33
0,91158,1141,-22,0,1018,-36
0,91159,1143,-23,0,1006,-41
0,91160,1142,-22,0,1006,-40
0,91161,1140,-22,0,994,-43
0,91162,1142,-23,0,983,-47
0,91163,1142,-23,0,971,-51
0,91164,1141,-22,0,971,-51
0,91165,1141,-21,0,959,-54
0,91166,1142,-23,0,947,-58
0,91167,1141,-22,0,934,-62
0,91168,1141,-23,0,934,-62
0,91169,1142,-22,0,922,-66
0,91170,1140,-23,0,910,-69
0,91171,1141,-23,0,897,-73
0,91172,1142,-23,0,897,-73
0,91173,1142,-23,0,885,-77
0,91174,1140,-22,0,872,-81
0,91175,1143,-23,0,859,-85
0,91176,1143,-24,0,859,-85
0,91177,1142,-23,0,846,-88
0,91178,1142,-23,0,833,-92
0,91179,1143,-25,0,820,-96
0,91180,1143,-25,0,820,-96
0,91181,1142,-23,0,807,-100
0,91182,1141,-22,0,794,-104
0,91183,1141,-23,0,780,-108
0,91184,1143,-25,0,780,-108
0,91185,1142,-23,0,767,-112
0,91186,1142,-23,0,753,-116
0,91187,1143,-23,0,740,-120
0,91188,1142,-23,0,740,-120
0,91189,1141,-24,0,726,-124
0,91190,1143,-26,0,712,-129
0,91191,1141,-24,0,698,-132
0,91192,1141,-25,0,698,-132
0,91193,1142,-26,0,684,-137
0,91194,1142,-27,0,670,-141
0,91195,1143,-28,0,656,-146
0,91196,1143,-28,0,656,-146
0,91197,1139,-27,0,642,-149
0,91198,1140,-29,0,628,-153
0,91199,1144,-32,0,613,-159
0,91200,1141,-31,0,613,-158
0,91201,1141,-32,0,599,-162
0,91202,1143,-33,0,584,-167
0,91203,1142,-33,0,570,-171
0,91204,1140,-31,0,570,-171
0,91205,1144,-36,0,555,-176
0,91206,1143,-35,0,540,-180
0,91207,1141,-34,0,525,-184
0,91208,1143,-36,0,525,-185
0,91209,1141,-36,0,510,-189
0,91210,1140,-37,0,495,-193
0,91211,1144,-39,0,480,-198
0,91212,1140,-39,0,480,-198
0,91213,1142,-39,0,465,-203
0,91214,1142,-40,0,450,-207
0,91215,1142,-42,0,435,-212
0,91216,1139,-40,0,435,-211
0,91217,1143,-44,0,419,-217
0,91218,1142,-44,0,404,-221
0,91219,1142,-44,0,389,-225
0,91220,1143,-45,0,389,-226
0,91221,1141,-45,0,373,-230
0,91222,1141,-47,0,358,-234
0,91223,1142,-47,0,342,-240
0,91224,1141,-48,0,342,-239
0,91225,1139,-47,0,326,-243
0,91226,1143,-51,0,310,-249
0,91227,1143,-52,0,295,-254
0,91228,1143,-53,0,295,-254
0,91229,1143,-54,0,279,-259
0,91230,1142,-56,0,263,-263
0,91231,1140,-55,0,247,-267
0,91232,1142,-56,0,247,-268
0,91233,1143,-58,0,231,-272
0,91234,1141,-57,0,215,-277
