startbyte,time,position,current,acceleration,cmdval,control effort
0,1146534,1624,-1769,0,-3808,-716
0,1146535,1626,-1732,0,-3775,-717
0,1146536,1623,-1690,0,-3742,-718
0,1146537,1626,-1671,0,-3709,-713
0,1146538,1625,-1645,0,-3676,-710
0,1146539,1627,-1622,0,-3644,-710
0,1146540,1624,-1596,0,-3611,-708
0,1146541,1623,-1575,0,-3578,-701
0,1146542,1626,-1545,0,-3545,-700
0,1146543,1629,-1522,0,-3512,-696
0,1146544,1627,-1499,0,-3480,-696
0,1146545,1626,-1474,0,-3447,-693
0,1146546,1629,-1447,0,-3414,-691
0,1146547,1627,-1421,0,-3381,-686
0,1146548,1622,-1391,0,-3348,-684
0,1146549,1624,-1374,0,-3315,-682
0,1146550,1624,-1349,0,-3283,-679
0,1146551,1625,-1326,0,-3250,-676
0,1146552,1625,-1302,0,-3217,-670
0,1146553,1625,-1276,0,-3184,-667
0,1146554,1625,-1253,0,-3151,-667
0,1146555,1627,-1231,0,-3118,-663
0,1146556,1626,-1209,0,-3086,-659
0,1146557,1626,-1182,0,-3053,-654
0,1146558,1625,-1155,0,-3020,-652
0,1146559,1625,-1134,0,-2987,-648
0,1146560,1627,-1113,0,-2954,-647
0,1146561,1625,-1090,0,-2921,-644
0,1146562,1625,-1067,0,-2889,-640
0,1146563,1625,-1039,0,-2856,-635
0,1146564,1629,-1018,0,-2823,-631
0,1146565,1630,-999,0,-2790,-629
0,1146566,1630,-977,0,-2757,-626
0,1146567,1631,-953,0,-2725,-623
0,1146568,1629,-929,0,-2692,-617
0,1146569,1630,-907,0,-2659,-613
0,1146570,1630,-882,0,-2626,-611
0,1146571,1631,-863,0,-2593,-608
0,1146572,1631,-840,0,-2560,-605
0,1146573,1634,-818,0,-2528,-598
0,1146574,1636,-795,0,-2495,-595
0,1146575,1635,-771,0,-2462,-591
0,1146576,1635,-755,0,-2429,-588
0,1146577,1632,-732,0,-2396,-585
0,1146578,1633,-708,0,-2363,-582
0,1146579,1637,-687,0,-2331,-575
0,1146580,1636,-664,0,-2298,-571
0,1146581,1639,-646,0,-2265,-569
0,1146582,1641,-626,0,-2232,-564
0,1146583,1638,-605,0,-2199,-561
0,1146584,1638,-584,0,-2166,-553
0,1146585,1638,-562,0,-2134,-550
0,1146586,1640,-542,0,-2101,-548
0,1146587,1640,-523,0,-2068,-543
0,1146588,1640,-502,0,-2035,-539
0,1146589,1640,-481,0,-2002,-532
0,1146590,1643,-461,0,-1970,-528
0,1146591,1643,-440,0,-1937,-523
0,1146592,1641,-425,0,-1904,-520
0,1146593,1643,-404,0,-1871,-516
0,1146594,1642,-386,0,-1838,-511
0,1146595,1644,-365,0,-1805,-504
0,1146596,1643,-344,0,-1773,-500
0,1146597,1647,-329,0,-1740,-496
0,1146598,1643,-309,0,-1707,-492
0,1146599,1645,-291,0,-1674,-486
0,1146600,1646,-269,0,-1641,-480
0,1146601,1647,-251,0,-1608,-474
0,1146602,1646,-231,0,-1576,-472
0,1146603,1650,-216,0,-1543,-467
0,1146604,1648,-196,0,-1510,-462
0,1146605,1648,-179,0,-1477,-454
0,1146606,1648,-156,0,-1444,-450
0,1146607,1649,-140,0,-1412,-445
0,1146608,1646,-130,0,-1379,-439
0,1146609,1646,-124,0,-1346,-430
0,1146610,1644,-121,0,-1313,-420
0,1146611,1644,-118,0,-1280,-406
0,1146612,1648,-115,0,-1247,-396
0,1146613,1647,-110,0,-1215,-389
0,1146614,1647,-102,0,-1182,-380
0,1146615,1650,-98,0,-1149,-370
0,1146616,1646,-92,0,-1116,-358
0,1146617,1645,-88,0,-1083,-348
0,1146618,1647,-85,0,-1050,-340
0,1146619,1644,-80,0,-1018,-331
0,1146620,1646,-77,0,-985,-320
0,1146621,1649,-72,0,-952,-308
0,1146622,1647,-69,0,-919,-297
0,1146623,1645,-64,0,-886,-287
0,1146624,1646,-60,0,-853,-280
0,1146625,1646,-59,0,-821,-269
0,1146626,1647,-57,0,-788,-258
0,1146627,1647,-52,0,-755,-246
0,1146628,1649,-50,0,-722,-235
0,1146629,1647,-46,0,-689,-228
0,1146630,1648,-44,0,-657,-217
0,1146631,1647,-41,0,-624,-206
0,1146632,1646,-39,0,-591,-193
0,1146633,1648,-37,0,-558,-182
0,1146634,1650,-36,0,-525,-174
0,1146635,1648,-34,0,-492,-163
0,1146636,1647,-29,0,-460,-153
0,1146637,1648,-29,0,-427,-139
0,1146638,1645,-25,0,-394,-129
0,1146639,1647,-25,0,-361,-120
0,1146640,1647,-24,0,-328,-109
0,1146641,1647,-24,0,-295,-98
0,1146642,1649,-25,0,-263,-86
0,1146643,1648,-24,0,-230,-72
0,1146644,1647,-24,0,-197,-60
0,1146645,1649,-28,0,-164,-50
0,1146646,1646,-24,0,-131,-40
0,1146647,1648,-24,0,-98,-29
0,1146648,1649,-25,0,-66,-14
0,1146649,1648,-23,0,-33,-3
0,1146650,1646,-23,0,0,-11
0,1146651,1647,24,0,-25,-14
0,1146652,1648,-23,0,-57,-9
0,1146653,1645,-22,0,-90,-23
0,1146654,1648,-23,0,-123,-35
0,1146655,1650,-25,0,-156,-43
0,1146656,1647,-23,0,-189,-55
0,1146657,1647,-22,0,-222,-66
0,1146658,1650,-25,0,-254,-77
0,1146659,1647,-24,0,-287,-92
0,1146660,1649,-24,0,-320,-103
0,1146661,1646,-23,0,-353,-112
0,1146662,1648,-24,0,-386,-123
0,1146663,1648,-24,0,-419,-135
0,1146664,1649,-28,0,-451,-148
0,1146665,1647,-28,0,-484,-159
0,1146666,1647,-30,0,-517,-168
0,1146667,1648,-33,0,-550,-178
0,1146668,1646,-34,0,-583,-189
0,1146669,1648,-38,0,-615,-201
0,1146670,1648,-40,0,-648,-212
0,1146671,1648,-43,0,-681,-220
0,1146672,1649,-46,0,-714,-231
0,1146673,1650,-49,0,-747,-241
0,1146674,1648,-52,0,-780,-251
0,1146675,1648,-54,0,-812,-265
0,1146676,1648,-56,0,-845,-276
0,1146677,1646,-58,0,-878,-284
0,1146678,1649,-69,0,-911,-291
0,1146679,1648,-66,0,-944,-304
0,1146680,1646,-68,0,-977,-318
0,1146681,1649,-74,0,-1009,-327
0,1146682,1649,-78,0,-1042,-335
0,1146683,1646,-81,0,-1075,-345
0,1146684,1648,-86,0,-1108,-354
0,1146685,1646,-88,0,-1141,-368
0,1146686,1646,-93,0,-1174,-378
0,1146687,1648,-100,0,-1206,-384
0,1146688,1648,-105,0,-1239,-394
0,1146689,1648,-112,0,-1272,-403
0,1146690,1647,-116,0,-1305,-413
0,1146691,1649,-121,0,-1338,-425
0,1146692,1649,-125,0,-1370,-435
0,1146693,1651,-129,0,-1403,-443
0,1146694,1650,-135,0,-1436,-452
0,1146695,1648,-154,0,-1469,-457
0,1146696,1652,-175,0,-1502,-464
0,1146697,1653,-193,0,-1535,-469
0,1146698,1650,-212,0,-1567,-472
0,1146699,1650,-228,0,-1600,-477
0,1146700,1647,-245,0,-1633,-483
0,1146701,1647,-269,0,-1666,-488
0,1146702,1645,-286,0,-1699,-494
0,1146703,1650,-307,0,-1732,-497
0,1146704,1645,-320,0,-1764,-502
0,1146705,1647,-343,0,-1797,-506
0,1146706,1647,-371,0,-1830,-510
0,1146707,1644,-382,0,-1863,-518
0,1146708,1641,-402,0,-1896,-521
0,1146709,1645,-420,0,-1929,-525
0,1146710,1644,-437,0,-1961,-530
0,1146711,1646,-458,0,-1994,-534
0,1146712,1645,-483,0,-2027,-540
0,1146713,1641,-501,0,-2060,-545
0,1146714,1642,-522,0,-2093,-547
0,1146715,1641,-539,0,-2125,-552
0,1146716,1640,-557,0,-2158,-557
0,1146717,1644,-583,0,-2191,-562
0,1146718,1644,-604,0,-2224,-567
0,1146719,1642,-627,0,-2257,-568
0,1146720,1641,-643,0,-2290,-573
0,1146721,1638,-663,0,-2322,-577
0,1146722,1637,-687,0,-2355,-583
0,1146723,1637,-711,0,-2388,-586
0,1146724,1638,-731,0,-2421,-589
0,1146725,1637,-750,0,-2454,-593
0,1146726,1640,-772,0,-2487,-597
0,1146727,1637,-794,0,-2519,-600
0,1146728,1633,-818,0,-2552,-606
0,1146729,1634,-842,0,-2585,-610
0,1146730,1635,-864,0,-2618,-612
0,1146731,1631,-880,0,-2651,-616
0,1146732,1631,-903,0,-2683,-620
0,1146733,1633,-931,0,-2716,-624
0,1146734,1633,-953,0,-2749,-628
0,1146735,1631,-975,0,-2782,-630
0,1146736,1631,-995,0,-2815,-634
0,1146737,1629,-1020,0,-2848,-636
0,1146738,1629,-1043,0,-2880,-642
0,1146739,1630,-1067,0,-2913,-646
0,1146740,1627,-1091,0,-2946,-647
0,1146741,1628,-1110,0,-2979,-651
0,1146742,1629,-1134,0,-3012,-654
0,1146743,1629,-1156,0,-3045,-658
0,1146744,1630,-1185,0,-3077,-662
0,1146745,1631,-1210,0,-3110,-665
0,1146746,1630,-1233,0,-3143,-667
0,1146747,1629,-1254,0,-3176,-669
0,1146748,1625,-1276,0,-3209,-673
0,1146749,1625,-1302,0,-3242,-679
0,1146750,1628,-1331,0,-3274,-680
0,1146751,1628,-1355,0,-3307,-682
0,1146752,1628,-1374,0,-3340,-685
0,1146753,1630,-1400,0,-3373,-687
0,1146754,1631,-1425,0,-3406,-693
0,1146755,1627,-1447,0,-3438,-696
0,1146756,1629,-1477,0,-3471,-696
0,1146757,1630,-1500,0,-3504,-698
0,1146758,1626,-1523,0,-3537,-702
0,1146759,1628,-1548,0,-3570,-704
0,1146760,1628,-1574,0,-3603,-710
0,1146761,1628,-1601,0,-3635,-711
0,1146762,1626,-1627,0,-3668,-713
0,1146763,1626,-1648,0,-3701,-715
0,1146764,1628,-1675,0,-3734,-717
0,1146765,1630,-1704,0,-3767,-722
0,1146766,1629,-1725,0,-3800,-726
0,1146767,1630,-1752,0,-3832,-726
0,1146768,1631,-1776,0,-3865,-728
0,1146769,1630,-1804,0,-3898,-730
0,1146770,1626,-1826,0,-3931,-736
0,1146771,1625,-1849,0,-3964,-740
0,1146772,1627,-1876,0,-3997,-739
0,1146773,1625,-1900,0,-4029,-742
0,1146774,1625,-1926,0,-4062,-744
0,1146775,1627,-1951,0,-4095,-747
0,1146776,1624,-1944,0,-4070,-744
0,1146777,1626,-1921,0,-4038,-740
0,1146778,1626,-1896,0,-4005,-739
0,1146779,1626,-1875,0,-3972,-736
0,1146780,1625,-1849,0,-3939,-734
0,1146781,1629,-1819,0,-3906,-730
0,1146782,1627,-1795,0,-3873,-727
0,1146783,1628,-1773,0,-3841,-725
0,1146784,1630,-1752,0,-3808,-722
0,1146785,1628,-1725,0,-3775,-720
0,1146786,1627,-1698,0,-3742,-715
0,1146787,1624,-1670,0,-3709,-713
0,1146788,1625,-1645,0,-3676,-713
0,1146789,1629,-1625,0,-3644,-709
0,1146790,1626,-1598,0,-3611,-707
0,1146791,1623,-1572,0,-3578,-704
0,1146792,1626,-1546,0,-3545,-699
0,1146793,1629,-1522,0,-3512,-699
0,1146794,1628,-1496,0,-3480,-695
0,1146795,1626,-1474,0,-3447,-693
0,1146796,1629,-1448,0,-3414,-690
0,1146797,1627,-1420,0,-3381,-686
0,1146798,1625,-1397,0,-3348,-682
0,1146799,1624,-1372,0,-3315,-682
0,1146800,1625,-1351,0,-3283,-679
0,1146801,1625,-1327,0,-3250,-675
0,1146802,1624,-1301,0,-3217,-670
0,1146803,1625,-1276,0,-3184,-667
0,1146804,1626,-1251,0,-3151,-666
0,1146805,1626,-1230,0,-3118,-663
0,1146806,1627,-1208,0,-3086,-660
0,1146807,1628,-1182,0,-3053,-657
0,1146808,1626,-1155,0,-3020,-652
0,1146809,1626,-1134,0,-2987,-650
0,1146810,1625,-1108,0,-2954,-647
0,1146811,1625,-1089,0,-2921,-644
0,1146812,1625,-1066,0,-2889,-640
0,1146813,1626,-1038,0,-2856,-636
0,1146814,1630,-1017,0,-2823,-632
0,1146815,1629,-993,0,-2790,-630
0,1146816,1630,-974,0,-2757,-627
0,1146817,1631,-955,0,-2725,-622
0,1146818,1626,-929,0,-2692,-617
0,1146819,1627,-903,0,-2659,-614
0,1146820,1630,-882,0,-2626,-612
0,1146821,1629,-862,0,-2593,-608
0,1146822,1632,-840,0,-2560,-605
0,1146823,1635,-819,0,-2528,-600
0,1146824,1636,-795,0,-2495,-595
0,1146825,1635,-772,0,-2462,-593
0,1146826,1634,-749,0,-2429,-589
0,1146827,1633,-731,0,-2396,-585
0,1146828,1634,-709,0,-2363,-582
0,1146829,1637,-686,0,-2331,-575
0,1146830,1637,-666,0,-2298,-571
0,1146831,1639,-644,0,-2265,-569
