startbyte,time,position,current,acceleration,cmdval,control effort
0,90680,4095,44,0,966,406
0,90681,4095,46,0,988,414
0,90682,4095,48,0,988,412
0,90683,4095,49,0,1011,423
0,90684,4095,51,0,1011,422
0,90685,4095,56,0,1033,430
0,90686,4095,60,0,1033,428
0,90687,4095,65,0,1055,437
0,90688,4095,68,0,1055,434
0,90689,4095,73,0,1077,442
0,90690,4095,76,0,1077,440
0,90691,4095,81,0,1099,448
0,90692,4095,86,0,1099,446
0,90693,4095,90,0,1121,455
0,90694,4095,94,0,1121,452
0,90695,4095,101,0,1142,459
0,90696,4095,103,0,1142,457
0,90697,4095,108,0,1164,466
0,90698,4095,112,0,1164,463
0,90699,4095,115,0,1185,471
0,90700,4095,121,0,1185,469
0,90701,4095,126,0,1206,478
0,90702,4095,130,0,1206,475
0,90703,4095,135,0,1227,482
0,90704,4095,139,0,1227,480
0,90705,4095,142,0,1247,487
0,90706,4095,145,0,1247,485
0,90707,4095,155,0,1268,492
0,90708,4095,155,0,1268,491
0,90709,4095,162,0,1288,498
0,90710,4095,165,0,1288,495
0,90711,4095,171,0,1308,503
0,90712,4095,173,0,1308,500
0,90713,4095,179,0,1327,508
0,90714,4095,181,0,1327,506
0,90715,4095,186,0,1347,512
0,90716,4095,190,0,1347,511
0,90717,4095,196,0,1366,517
0,90718,4095,198,0,1366,515
0,90719,4095,207,0,1385,521
0,90720,4095,207,0,1385,520
0,90721,4095,216,0,1404,525
0,90722,4095,217,0,1404,524
0,90723,4095,224,0,1423,531
0,90724,4095,225,0,1423,528
0,90725,4095,233,0,1441,535
0,90726,4095,234,0,1441,533
0,90727,4095,241,0,1460,540
0,90728,4095,243,0,1460,538
0,90729,4095,251,0,1477,543
0,90730,4095,250,0,1477,542
0,90731,4095,256,0,1495,548
0,90732,4095,259,0,1495,546
0,90733,4095,265,0,1513,550
0,90734,4095,270,0,1513,550
0,90735,4095,278,0,1530,555
0,90736,4095,279,0,1530,553
0,90737,4095,285,0,1547,558
0,90738,4095,287,0,1547,557
0,90739,4095,294,0,1564,563
0,90740,4095,294,0,1564,562
0,90741,4095,303,0,1580,566
0,90742,4095,303,0,1580,565
0,90743,4095,310,0,1597,571
0,90744,4095,311,0,1597,569
0,90745,4095,317,0,1613,574
0,90746,4095,320,0,1613,572
0,90747,4095,325,0,1628,577
0,90748,4095,327,0,1628,576
0,90749,4095,335,0,1644,581
0,90750,4095,335,0,1644,580
0,90751,4095,341,0,1659,583
0,90752,4095,344,0,1659,582
0,90753,4095,354,0,1674,584
0,90754,4095,352,0,1674,584
0,90755,4095,361,0,1689,590
0,90756,4095,361,0,1689,588
0,90757,4095,366,0,1703,593
0,90758,4095,369,0,1703,591
0,90759,4095,375,0,1717,596
0,90760,4095,375,0,1717,594
0,90761,4095,385,0,1731,598
0,90762,4095,384,0,1731,598
0,90763,4095,387,0,1745,602
