startbyte,time,position,current,acceleration,cmdval,control effort
0,416012,4538,253,0,1469,545
0,416013,4552,255,0,1469,548
0,417309,4312,37,0,802,343
0,417310,4263,38,0,802,343
0,417311,4217,37,0,802,345
0,417312,4172,38,0,802,343
0,417313,4126,38,0,802,342
0,417314,4081,37,0,802,346
0,417315,4041,37,0,802,342
0,417316,4009,38,0,802,342
0,417317,3973,35,0,684,291
0,417318,3944,29,0,684,292
0,417319,3917,29,0,684,293
0,417320,3895,30,0,684,295
0,417321,3874,29,0,684,294
0,417322,3863,30,0,684,294
0,417323,3849,28,0,684,294
0,417324,3844,29,0,684,294
0,417325,3843,30,0,684,292
0,417326,3843,30,0,684,293
0,417327,3848,28,0,563,240
0,417328,3855,23,0,563,242
0,417329,3865,23,0,563,242
0,417330,3878,21,0,563,241
0,417331,3898,23,0,563,240
0,417332,3911,22,0,563,243
0,417333,3935,22,0,563,242
0,417334,3958,23,0,563,244
0,417335,3982,23,0,563,243
0,417336,4007,21,0,563,241
0,417337,4036,20,0,441,189
0,417338,4058,16,0,441,191
0,417339,4089,16,0,441,188
0,417340,4119,17,0,441,192
0,417341,4145,15,0,441,190
0,417342,4175,17,0,441,189
0,417343,4200,17,0,441,190
0,417344,4227,16,0,441,189
0,417345,4256,16,0,441,190
0,417346,4283,18,0,441,189
0,417347,4307,16,0,316,135
0,417348,4330,14,0,316,135
0,417349,4352,14,0,316,137
0,417350,4372,13,0,316,136
0,417351,4395,13,0,316,133
0,417352,4416,13,0,316,135
0,417353,4433,13,0,316,137
0,417354,4449,13,0,316,135
0,417355,4464,14,0,316,136
0,417356,4475,13,0,316,136
0,417357,4486,13,0,190,79
0,417358,4498,10,0,190,80
0,417359,4503,10,0,190,80
0,417360,4511,9,0,190,79
0,417361,4515,10,0,190,79
0,417362,4516,9,0,190,82
0,417363,4518,9,0,190,77
0,417364,4518,10,0,190,79
0,417365,4515,10,0,190,82
0,417366,4514,10,0,190,82
0,417367,4511,9,0,63,24
0,417368,4502,8,0,63,25
0,417369,4494,7,0,63,23
0,417370,4489,7,0,63,22
0,417371,4478,7,0,63,23
0,417372,4468,6,0,63,24
0,417373,4458,7,0,63,25
0,417374,4445,8,0,63,25
0,417375,4435,8,0,63,23
0,417376,4419,7,0,63,25
0,417377,4404,-8,0,-63,-8
0,417378,4387,-7,0,-63,-25
0,417379,4374,-8,0,-63,-25
0,417380,4358,-8,0,-63,-24
0,417381,4342,-7,0,-63,-24
0,417382,4327,-9,0,-63,-25
0,417383,4306,-7,0,-63,-24
0,417384,4289,-7,0,-63,-25
0,417385,4273,-7,0,-63,-23
0,417386,4257,-7,0,-63,-26
0,417387,4241,-8,0,-190,-80
0,417388,4227,-8,0,-190,-80
0,417389,4209,-7,0,-190,-81
0,417390,4192,-7,0,-190,-81
0,417391,4182,-8,0,-190,-84
0,417392,4165,-7,0,-190,-82
0,417393,4154,-8,0,-190,-80
0,417394,4144,-9,0,-190,-80
0,417395,4131,-7,0,-190,-83
0,417396,4125,-8,0,-190,-82
0,417397,4115,-8,0,-316,-140
0,417398,4105,-8,0,-316,-140
0,417399,4100,-9,0,-316,-136
0,417400,4097,-9,0,-316,-137
0,417401,4090,-8,0,-316,-138
0,417402,4088,-8,0,-316,-137
0,417403,4087,-9,0,-316,-138
0,417404,4085,-8,0,-316,-139
0,417405,4085,-8,0,-316,-137
0,417406,4088,-8,0,-316,-137
0,417407,4088,-8,0,-441,-194
0,417408,4092,-11,0,-441,-193
0,417409,4098,-12,0,-441,-194
0,417410,4100,-11,0,-441,-193
0,417411,4105,-12,0,-441,-194
0,417412,4111,-12,0,-441,-193
0,417413,4116,-12,0,-441,-193
0,417414,4122,-11,0,-441,-193
0,417415,4131,-12,0,-441,-192
0,417416,4137,-12,0,-441,-193
0,417417,4142,-13,0,-563,-246
0,417418,4152,-17,0,-563,-245
0,417419,4154,-15,0,-563,-247
0,417420,4163,-17,0,-563,-246
0,417421,4172,-17,0,-563,-245
0,417422,4176,-16,0,-563,-247
0,417423,4183,-16,0,-563,-246
0,417424,4190,-17,0,-563,-246
0,417425,4195,-16,0,-563,-248
0,417426,4199,-15,0,-563,-247
0,417427,4208,-17,0,-684,-300
0,417428,4210,-20,0,-684,-298
0,417429,4215,-19,0,-684,-298
0,417430,4220,-20,0,-684,-296
0,417431,4221,-19,0,-684,-301
0,417432,4224,-19,0,-684,-298
0,417433,4229,-19,0,-684,-298
0,417434,4228,-20,0,-684,-299
0,417435,4230,-20,0,-684,-298
0,417436,4232,-21,0,-684,-298
0,417437,4230,-21,0,-802,-352
0,417438,4229,-26,0,-802,-349
0,417439,4232,-28,0,-802,-348
0,417440,4229,-27,0,-802,-349
0,417441,4228,-27,0,-802,-347
0,417442,4228,-27,0,-802,-347
0,417443,4227,-28,0,-802,-349
